Date,Time,Member ID,Name
2025-04-18,21:47,1,Omar
2025-04-04,16:37,1,Omar
2025-04-02,16:35,2,Sara
2025-04-15,21:41,2,Sara
2025-04-04,19:14,2,Sara
2025-04-07,20:17,2,Sara
2025-04-21,17:44,2,Sara
2025-04-19,19:06,3,Ali
2025-04-09,16:35,4,Fatima
2025-04-12,16:54,5,Khalid
2025-04-14,16:24,5,Khalid
2025-04-13,21:59,6,Layla
2025-04-01,16:38,6,Layla
2025-04-01,21:35,7,Zain
2025-04-14,21:20,7,Zain
2025-04-20,17:52,7,Zain
2025-04-11,17:41,8,Aisha
2025-04-06,19:56,8,Aisha
2025-04-01,19:09,8,Aisha
2025-04-13,17:15,8,Aisha
2025-04-04,20:16,8,Aisha
2025-04-06,16:48,9,Tariq
2025-04-20,16:09,9,Tariq
2025-04-01,17:50,9,Tariq
2025-04-08,20:04,9,Tariq
2025-04-09,19:38,9,Tariq
2025-04-13,21:21,10,Nour
2025-04-18,18:27,10,Nour
2025-04-16,19:00,10,Nour
2025-04-13,20:48,10,Nour
2025-04-16,20:58,10,Nour
2025-04-05,16:38,11,Yusuf
2025-04-11,19:01,11,Yusuf
2025-04-18,18:56,11,Yusuf
2025-04-12,17:03,11,Yusuf
2025-04-14,20:05,11,Yusuf
2025-04-04,17:16,12,Hana
2025-04-05,20:27,12,Hana
2025-04-15,20:48,12,Hana
2025-04-15,21:19,12,Hana
2025-04-14,16:21,13,Salim
2025-04-21,20:35,13,Salim
2025-04-19,16:55,14,Mariam
2025-04-11,16:32,14,Mariam
2025-04-03,19:15,15,Rami
2025-04-06,19:12,15,Rami
2025-04-18,16:42,15,Rami
2025-04-08,18:27,15,Rami
2025-04-08,19:55,15,Rami
2025-04-14,17:12,16,Jana
2025-04-14,16:28,17,Samir
2025-04-04,16:03,17,Samir
2025-04-01,20:53,17,Samir
2025-04-21,16:59,17,Samir
2025-04-09,16:10,18,Lina
2025-04-09,16:24,18,Lina
2025-04-17,17:18,19,Adil
2025-04-15,16:37,19,Adil
2025-04-04,16:47,19,Adil
2025-04-11,16:03,19,Adil
2025-04-19,20:04,20,Rania
2025-04-14,19:07,20,Rania
2025-04-03,20:20,21,Bilal
2025-04-13,17:42,21,Bilal
2025-04-11,17:16,21,Bilal
2025-04-09,17:42,21,Bilal
2025-04-01,18:29,21,Bilal
2025-04-19,20:13,22,Amira
2025-04-12,17:28,23,Faris
2025-04-04,21:19,23,Faris
2025-04-02,21:33,23,Faris
2025-04-04,17:17,24,Sana
2025-04-06,18:57,25,Karim
2025-04-20,16:40,25,Karim
2025-04-08,18:02,25,Karim
2025-04-21,18:49,25,Karim
2025-04-17,21:16,25,Karim
2025-04-17,20:02,26,Noor
2025-04-10,16:57,27,Hadi
2025-04-10,17:43,27,Hadi
2025-04-14,21:06,27,Hadi
2025-04-21,17:47,28,Yara
2025-04-11,19:51,28,Yara
2025-04-14,18:10,28,Yara
2025-04-18,19:55,28,Yara
2025-04-14,17:01,29,Nabil
2025-04-15,19:21,29,Nabil
2025-04-13,16:49,29,Nabil
2025-04-18,18:11,30,Dina
2025-04-11,19:38,31,Ibrahim
2025-04-05,16:24,31,Ibrahim
2025-04-03,17:16,31,Ibrahim
2025-04-10,19:04,32,Rula
2025-04-11,20:20,32,Rula
2025-04-11,19:44,33,Othman
2025-04-12,20:08,33,Othman
2025-04-15,19:42,33,Othman
2025-04-09,21:47,33,Othman
2025-04-15,19:50,34,Rasha
2025-04-03,20:41,34,Rasha
2025-04-11,19:28,34,Rasha
2025-04-01,20:21,35,Majid
2025-04-19,17:43,35,Majid
2025-04-12,17:51,35,Majid
2025-04-15,17:01,35,Majid
2025-04-20,17:30,35,Majid
2025-04-09,19:25,36,Lamis
2025-04-14,17:41,36,Lamis
2025-04-07,16:35,37,Walid
2025-04-14,16:29,37,Walid
2025-04-17,19:42,37,Walid
2025-04-05,20:38,37,Walid
2025-04-11,19:39,37,Walid
2025-04-14,21:17,38,Nisreen
2025-04-05,19:40,38,Nisreen
2025-04-14,18:28,38,Nisreen
2025-04-19,17:09,39,Zayd
2025-04-14,19:44,39,Zayd
2025-04-17,21:13,39,Zayd
2025-04-19,19:26,39,Zayd
2025-04-11,20:29,39,Zayd
2025-04-03,19:30,40,Najwa
2025-04-02,17:31,41,Kareem
2025-04-14,18:27,41,Kareem
2025-04-06,16:24,41,Kareem
2025-04-11,21:43,41,Kareem
2025-04-09,21:10,41,Kareem
2025-04-03,20:42,42,Sahar
2025-04-21,16:41,42,Sahar
2025-04-08,17:55,42,Sahar
2025-04-07,17:03,42,Sahar
2025-04-09,18:48,43,Ghassan
2025-04-08,18:53,43,Ghassan
2025-04-19,19:01,43,Ghassan
2025-04-21,17:12,44,Reem
2025-04-03,17:29,45,Hussein
2025-04-16,18:06,46,Laila
2025-04-19,20:44,47,Jamal
2025-04-01,17:06,47,Jamal
2025-04-08,21:23,48,Lubna
2025-04-19,20:41,48,Lubna
2025-04-11,16:54,48,Lubna
2025-04-08,19:06,48,Lubna
2025-04-08,18:40,48,Lubna
2025-04-02,20:49,49,Nadir
2025-04-06,19:27,49,Nadir
2025-04-03,18:20,49,Nadir
2025-04-03,20:42,50,Salma
2025-04-09,18:01,50,Salma
2025-04-06,18:11,50,Salma
2025-04-06,17:22,50,Salma
